Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen","Freie_IV_Kapazitaeten_Davon_Isolationspflichtige_Kinder","einschraenkung_beatmungsgeraet",einschraenkung_material,einschraenkung_personal,einschraenkung_raum
"2020-04-16T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1137,2810,15673,10903,0,7775,NA,824,89,83,141,NA,NA,40,32,116,33
"2020-04-16T12:15:00+02:00",DEUTSCHLAND,KINDER,30,7,234,172,0,103,NA,25,1,1,3,NA,NA,0,0,2,1
"2020-04-17T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1207,2879,16835,11261,0,8032,NA,861,113,92,141,NA,NA,42,29,128,55
"2020-04-17T12:15:00+02:00",DEUTSCHLAND,KINDER,33,4,258,180,0,107,NA,25,1,1,6,NA,NA,0,0,2,1
"2020-04-18T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1251,2928,17311,11410,0,8242,NA,878,116,88,169,NA,NA,37,30,139,48
"2020-04-18T12:15:00+02:00",DEUTSCHLAND,KINDER,36,5,257,201,0,123,NA,27,2,1,6,NA,NA,0,0,3,2
"2020-04-19T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1254,2870,16930,11834,0,8456,NA,897,108,88,161,NA,NA,39,30,132,51
"2020-04-19T12:15:00+02:00",DEUTSCHLAND,KINDER,36,5,255,202,0,127,NA,26,1,1,8,NA,NA,0,0,2,2
"2020-04-20T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1270,2900,17244,11802,0,8434,NA,914,114,92,150,NA,NA,38,30,132,57
"2020-04-20T12:15:00+02:00",DEUTSCHLAND,KINDER,39,5,255,214,0,133,NA,29,3,NA,7,NA,NA,0,0,2,2
"2020-04-21T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1284,2855,18163,11812,0,8479,NA,917,113,97,157,NA,NA,40,32,131,62
"2020-04-21T12:15:00+02:00",DEUTSCHLAND,KINDER,40,5,275,208,0,126,NA,31,3,1,5,NA,NA,1,1,3,3
"2020-04-22T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1291,2739,18540,11857,0,8522,NA,926,112,96,157,NA,NA,36,35,134,55
"2020-04-22T12:15:00+02:00",DEUTSCHLAND,KINDER,43,5,294,201,0,128,NA,32,5,1,5,NA,NA,1,1,4,4
"2020-04-23T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1306,2720,18701,11878,0,8531,NA,937,104,112,153,NA,NA,37,33,139,64
"2020-04-23T12:15:00+02:00",DEUTSCHLAND,KINDER,48,8,331,234,0,147,NA,35,4,2,7,NA,NA,1,1,4,4
"2020-04-24T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1310,2644,18879,11944,0,8628,NA,925,113,110,162,NA,NA,38,32,145,69
"2020-04-24T12:15:00+02:00",DEUTSCHLAND,KINDER,49,6,358,261,0,167,NA,36,4,3,6,NA,NA,1,1,5,4
"2020-04-25T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1310,2538,18738,11959,0,8574,NA,933,111,108,158,NA,NA,35,31,146,66
"2020-04-25T12:15:00+02:00",DEUTSCHLAND,KINDER,51,5,362,273,0,172,NA,39,3,3,6,NA,NA,1,1,4,4
"2020-04-26T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1310,2524,18254,12359,0,8902,NA,934,111,107,158,NA,NA,37,33,135,69
"2020-04-26T12:15:00+02:00",DEUTSCHLAND,KINDER,51,5,363,274,0,170,NA,41,4,2,4,NA,NA,1,1,4,4
"2020-04-27T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1311,2466,18436,12203,0,8810,NA,942,106,106,157,NA,NA,35,31,137,69
"2020-04-27T12:15:00+02:00",DEUTSCHLAND,KINDER,52,5,367,276,0,178,NA,39,4,2,7,NA,NA,1,1,4,4
"2020-04-28T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1315,2391,18948,11890,0,8684,NA,948,111,105,151,NA,NA,34,32,138,68
"2020-04-28T12:15:00+02:00",DEUTSCHLAND,KINDER,56,3,397,274,0,184,NA,42,3,4,7,NA,NA,1,1,5,4
"2020-04-29T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1320,2310,19179,11844,0,8682,NA,949,114,98,159,NA,NA,34,31,137,65
"2020-04-29T12:15:00+02:00",DEUTSCHLAND,KINDER,58,3,434,258,0,181,NA,44,3,4,7,NA,NA,1,1,5,4
"2020-04-30T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1320,2235,19130,11891,0,8663,NA,948,108,104,160,NA,NA,36,29,138,65
"2020-04-30T12:15:00+02:00",DEUTSCHLAND,KINDER,59,6,440,270,0,188,NA,45,4,4,6,NA,NA,1,1,6,4
"2020-05-01T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2118,19193,11947,0,8713,NA,955,113,94,165,NA,NA,34,26,140,59
"2020-05-01T12:15:00+02:00",DEUTSCHLAND,KINDER,64,6,449,296,0,198,NA,49,3,5,7,NA,NA,1,1,7,4
"2020-05-02T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2046,18554,12551,0,9031,NA,963,103,99,162,NA,NA,33,25,139,59
"2020-05-02T12:15:00+02:00",DEUTSCHLAND,KINDER,64,6,453,316,0,208,NA,48,5,5,6,NA,NA,2,1,8,4
"2020-05-03T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,2011,18681,12417,0,8982,NA,954,109,100,164,NA,NA,34,24,138,61
"2020-05-03T12:15:00+02:00",DEUTSCHLAND,KINDER,64,7,449,316,0,207,NA,47,5,5,7,NA,NA,2,1,8,4
"2020-05-04T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1327,1976,18594,12346,0,8915,NA,983,100,95,149,NA,NA,33,24,133,52
"2020-05-04T12:15:00+02:00",DEUTSCHLAND,KINDER,66,4,459,321,0,217,NA,49,5,6,6,NA,NA,1,1,8,6
"2020-05-05T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1330,1903,19170,11772,0,8594,NA,984,101,96,149,NA,NA,32,24,132,59
"2020-05-05T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,500,329,0,216,NA,51,7,5,6,NA,NA,0,1,8,5
"2020-05-06T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1329,1820,19535,11499,0,8390,NA,987,103,87,152,NA,NA,28,22,132,52
"2020-05-06T12:15:00+02:00",DEUTSCHLAND,KINDER,69,5,533,301,0,202,NA,52,7,4,6,NA,NA,1,1,8,6
"2020-05-07T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1763,19511,11462,0,8264,NA,977,115,83,153,NA,NA,29,18,133,58
"2020-05-07T12:15:00+02:00",DEUTSCHLAND,KINDER,69,6,528,300,0,193,NA,50,8,4,7,NA,NA,1,1,9,7
"2020-05-08T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1659,19459,11327,0,8227,NA,989,105,87,147,NA,NA,29,19,125,57
"2020-05-08T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,551,286,0,180,NA,53,7,4,5,NA,NA,1,1,9,6
"2020-05-09T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1594,19262,11519,0,8340,NA,986,108,89,145,NA,NA,28,19,125,58
"2020-05-09T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,527,301,0,193,NA,54,6,4,5,NA,NA,0,1,8,5
"2020-05-10T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1328,1603,18709,11935,0,8584,NA,982,104,89,153,NA,NA,27,19,127,55
"2020-05-10T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,522,305,0,194,NA,50,7,6,6,NA,NA,0,1,10,6
"2020-05-11T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1329,1587,18866,11784,0,8456,NA,991,103,89,146,NA,NA,28,19,124,58
"2020-05-11T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,525,282,0,185,NA,54,4,5,6,NA,NA,0,1,7,4
"2020-05-12T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1337,1496,19766,11558,0,8310,NA,989,100,94,154,NA,NA,28,22,122,62
"2020-05-12T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,510,310,0,204,NA,54,3,6,6,NA,NA,0,1,7,4
"2020-05-13T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1339,1384,19705,11239,0,8104,NA,984,109,100,146,NA,NA,29,21,130,66
"2020-05-13T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,505,295,0,200,NA,51,4,5,9,NA,NA,0,1,6,4
"2020-05-14T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1316,19637,11411,0,8234,NA,995,103,96,149,NA,NA,28,20,128,63
"2020-05-14T12:15:00+02:00",DEUTSCHLAND,KINDER,69,2,482,308,0,215,NA,52,3,5,9,NA,NA,0,1,6,4
"2020-05-15T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1232,19965,11091,0,8038,NA,1002,99,92,150,NA,NA,25,20,125,61
"2020-05-15T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,491,301,0,208,NA,52,4,5,8,NA,NA,0,1,8,3
"2020-05-16T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1173,19603,11287,0,8118,NA,1008,101,85,149,NA,NA,24,19,119,58
"2020-05-16T12:15:00+02:00",DEUTSCHLAND,KINDER,69,3,493,295,0,205,NA,51,3,5,10,NA,NA,0,0,7,3
"2020-05-17T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1343,1125,19086,11852,0,8503,NA,1005,105,82,151,NA,NA,22,19,121,61
"2020-05-17T12:15:00+02:00",DEUTSCHLAND,KINDER,68,3,477,290,0,190,NA,50,3,5,10,NA,NA,0,0,7,2
"2020-05-18T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,1122,19044,11769,0,8508,NA,1020,93,82,149,NA,NA,24,19,114,55
"2020-05-18T12:15:00+02:00",DEUTSCHLAND,KINDER,69,4,488,297,0,203,NA,51,5,5,8,NA,NA,0,0,8,2
"2020-05-19T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,1087,19621,11033,0,8127,NA,1001,101,89,155,NA,NA,26,19,121,67
"2020-05-19T12:15:00+02:00",DEUTSCHLAND,KINDER,71,1,507,288,0,197,NA,54,4,6,7,NA,NA,0,0,9,3
"2020-05-20T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,1019,19852,10976,0,8036,NA,1007,97,86,156,NA,NA,26,21,119,57
"2020-05-20T12:15:00+02:00",DEUTSCHLAND,KINDER,72,2,534,277,0,190,NA,56,4,5,7,NA,NA,0,0,8,3
"2020-05-21T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,999,19825,11010,0,7948,NA,1009,98,87,152,NA,NA,27,20,122,55
"2020-05-21T12:15:00+02:00",DEUTSCHLAND,KINDER,73,1,557,289,0,196,NA,55,5,6,7,NA,NA,0,0,8,3
"2020-05-22T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,971,19266,11549,0,8413,NA,1001,91,90,163,NA,NA,25,20,120,58
"2020-05-22T12:15:00+02:00",DEUTSCHLAND,KINDER,74,4,559,298,0,211,NA,55,5,7,7,NA,NA,1,0,8,4
"2020-05-23T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,928,19453,11539,0,8321,NA,1003,95,91,156,NA,NA,25,17,125,62
"2020-05-23T12:15:00+02:00",DEUTSCHLAND,KINDER,74,3,563,298,0,211,NA,57,5,5,7,NA,NA,0,0,8,3
"2020-05-24T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,896,18969,11870,0,8535,NA,1008,100,83,154,NA,NA,23,19,124,59
"2020-05-24T12:15:00+02:00",DEUTSCHLAND,KINDER,74,4,558,296,0,212,NA,54,5,6,9,NA,NA,0,0,9,3
"2020-05-25T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1347,883,19024,11919,0,8566,NA,1012,100,88,147,NA,NA,26,19,123,60
"2020-05-25T12:15:00+02:00",DEUTSCHLAND,KINDER,75,2,589,310,0,216,NA,55,5,6,9,NA,NA,0,1,8,2
"2020-05-26T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,810,19559,11271,0,8178,NA,1009,100,90,149,NA,NA,24,19,123,68
"2020-05-26T12:15:00+02:00",DEUTSCHLAND,KINDER,76,6,605,312,0,222,NA,56,5,6,9,NA,NA,0,1,9,2
"2020-05-27T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,749,19822,10930,0,7912,NA,1020,95,85,146,NA,NA,26,18,118,62
"2020-05-27T12:15:00+02:00",DEUTSCHLAND,KINDER,77,2,632,285,0,200,NA,57,5,6,9,NA,NA,0,1,8,2
